Relative Time (s),src IP,dst IP,IP protocol,TCP src port,TCP dst port,UDP src port,UDP dst port,Frame Length
15.15387022,IP B,IP C,6,443,50984,,,66
15.15406274,IP C,IP B,6,50984,443,,,116
15.15407669,IP B,IP C,6,443,50984,,,66
15.15429299,IP B,IP C,6,443,50984,,,305
15.15465175,IP B,IP C,6,443,50984,,,176
15.15579727,IP C,IP B,6,50984,443,,,66
15.15616158,IP C,IP B,6,50984,443,,,66
15.17085843,IP A,IP B,6,6138,443,,,141
15.17101256,IP B,IP A,6,443,6138,,,101
15.17117697,IP A,IP B,6,6138,443,,,2922
15.1711886,IP B,IP A,6,443,6138,,,66
15.17120284,IP A,IP B,6,6138,443,,,93
15.1712193,IP A,IP B,6,6138,443,,,1494
15.17122682,IP B,IP A,6,443,6138,,,66
15.17128693,IP A,IP B,6,6138,443,,,1521
15.17129185,IP B,IP A,6,443,6138,,,66
15.17150652,IP A,IP B,6,6138,443,,,93
15.17151595,IP B,IP A,6,443,6138,,,78
15.17152343,IP A,IP B,6,6138,443,,,1494
15.17153032,IP B,IP A,6,443,6138,,,78
15.17153688,IP A,IP B,6,6138,443,,,1494
15.17154561,IP B,IP A,6,443,6138,,,66
15.17166092,IP A,IP B,6,6138,443,,,249
15.17166831,IP B,IP A,6,443,6138,,,78
15.17168335,IP A,IP B,6,6138,443,,,2949
15.17169188,IP B,IP A,6,443,6138,,,66
15.17510287,IP B,IP C,6,443,48018,,,1226
15.17555487,IP B,IP A,6,443,6138,,,2922
15.1755662,IP B,IP A,6,443,6138,,,2922
15.17560541,IP B,IP A,6,443,6138,,,2570
15.17568695,IP B,IP A,6,443,6138,,,2922
15.17570086,IP B,IP A,6,443,6138,,,1494
15.17661058,IP C,IP B,6,48018,443,,,66
15.17667306,IP C,IP B,6,50986,443,,,146
15.17668034,IP B,IP C,6,443,50986,,,66
15.17705032,IP C,IP B,6,50986,443,,,116
15.17706153,IP B,IP C,6,443,50986,,,66
15.17879644,IP B,IP C,6,443,50986,,,415
15.18135853,IP C,IP B,6,50986,443,,,66
15.19571547,IP A,IP B,6,6234,443,,,66
15.19572629,IP A,IP B,6,6234,443,,,66
15.19573276,IP A,IP B,6,6234,443,,,196
15.19574423,IP B,IP A,6,443,6234,,,66
15.19658976,IP B,IP A,6,443,6234,,,172
15.20764736,IP C,IP B,6,50984,443,,,196
15.20766687,IP B,IP C,6,443,50984,,,66
15.20858212,IP B,IP C,6,443,50984,,,172
15.21006166,IP C,IP B,6,50984,443,,,66
15.21128991,IP B,IP A,17,,,10000,6233,154
15.21166213,IP A,IP B,6,6138,443,,,66
15.21167526,IP B,IP A,6,443,6138,,,1250
15.21544805,IP A,IP B,6,6138,443,,,66
15.21545804,IP A,IP B,6,6138,443,,,66
15.21546373,IP A,IP B,6,6138,443,,,66
15.216042,IP A,IP B,6,6138,443,,,66
15.21605463,IP A,IP B,6,6138,443,,,66
15.22715988,IP C,IP B,6,50986,443,,,196
15.22716996,IP B,IP C,6,443,50986,,,66
15.2279212,IP B,IP C,6,443,50986,,,172
15.2305188,IP C,IP B,6,50986,443,,,66
15.23594643,IP C,IP B,6,48018,443,,,278
15.2362531,IP B,IP C,6,443,48018,,,101
15.23703253,IP B,IP C,6,443,48018,,,5016
15.2377949,IP C,IP B,6,48018,443,,,66
15.2385232,IP C,IP B,6,48018,443,,,66
15.23854562,IP C,IP B,6,48018,443,,,66
